tau,sigma,tau_after,sigma_after,switch_cycle,rho,gamma,delta,cycle,s1_mean,s1_std,s2_mean,s2_std
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,32,0.7096995805999997,0.022666233817895808,0.2903004194000003,0.02266623381789582
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,33,0.7075445849099997,0.021930380931637652,0.2924554150900003,0.021930380931637645
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,34,0.7054175891639998,0.021096792091173655,0.29458241083600023,0.021096792091173665
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,35,0.7034115931759999,0.020316606831543307,0.2965884068240001,0.020316606831543304
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,36,0.701581596836,0.01953919098771555,0.298418403164,0.019539190987715543
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,37,0.69980460039,0.0187120840341509,0.30019539960999997,0.018712084034150898
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,38,0.698071603856,0.017941214910015563,0.30192839614399997,0.01794121491001557
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,39,0.69646460707,0.017196137611301017,0.3035353929299999,0.01719613761130105
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,40,0.694867610264,0.016456331589541042,0.3051323897359999,0.01645633158954104
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,41,0.69337461325,0.015772080919834598,0.30662538674999995,0.0157720809198346
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,42,0.6919516160960001,0.015116348336616757,0.3080483839039999,0.015116348336616752
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,43,0.6905936188120002,0.014466194668173428,0.3094063811879998,0.014466194668173416
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,44,0.6893176213640002,0.013869347688312769,0.3106823786359998,0.013869347688312774
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,45,0.6880246239500001,0.013242184930514172,0.31197537604999986,0.013242184930514184
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,46,0.6868516262960002,0.012675416964661306,0.31314837370399984,0.012675416964661282
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,47,0.6856946286100002,0.012074427129901196,0.3143053713899998,0.012074427129901213
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,48,0.6846176307640002,0.011519708134301445,0.3153823692359998,0.011519708134301438
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,49,0.6835986328020003,0.011020860480925307,0.3164013671979998,0.011020860480925312
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,50,0.6826066347860003,0.010530778428218084,0.31739336521399975,0.010530778428218096
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,51,0.6816436367120001,0.010065511674375709,0.3183563632879998,0.010065511674375707
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,52,0.6806616386760003,0.00961238701318046,0.31933836132399973,0.009612387013180438
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,53,0.6798036403920003,0.009193007803745592,0.3201963596079998,0.0091930078037456
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,54,0.6789736420520002,0.00877291714885456,0.32102635794799983,0.008772917148854571
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,55,0.6781806436380002,0.008358684957151637,0.3218193563619998,0.00835868495715165
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,56,0.6774346451300002,0.00798780600534668,0.3225653548699998,0.007987806005346678
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,57,0.6767196465600002,0.007692997164677006,0.32328035343999983,0.007692997164676996
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,58,0.6760156479680002,0.007367600318431806,0.32398435203199977,0.007367600318431791
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,59,0.6753066493860003,0.007047405066961534,0.32469335061399984,0.0070474050669615375
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,60,0.6746976506040002,0.0067714246158046545,0.3253023493959998,0.006771424615804663
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,61,0.6741036517920002,0.006462027164410538,0.32589634820799984,0.006462027164410554
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,62,0.6735256529480003,0.00612405279329277,0.32647434705199974,0.006124052793292774
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,63,0.6700476599040003,0.012523729896385064,0.3299523400959997,0.012523729896385028
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,64,0.6693986612020002,0.013088722667055235,0.33060133879799974,0.013088722667055245
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,65,0.6690136619720002,0.012553235069729819,0.33098633802799976,0.012553235069729822
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,66,0.6686546626900002,0.012021298898825862,0.33134533730999977,0.01202129889882584
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,67,0.6683386633220002,0.011396773570667672,0.33166133667799974,0.011396773570667667
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,68,0.6680336639320003,0.010877443313539847,0.33196633606799975,0.010877443313539832
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,69,0.6677576644840003,0.01036554148228174,0.3322423355159997,0.010365541482281748
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,70,0.6674666650660003,0.009836159035806783,0.3325333349339997,0.00983615903580678
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,71,0.6672046655900002,0.009413163140263395,0.33279533440999975,0.00941316314026343
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,72,0.6650766698460002,0.011520209550388249,0.33492333015399967,0.011520209550388266
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,73,0.6646716706560003,0.011693268257503853,0.3353283293439997,0.011693268257503886
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,74,0.6645426709140002,0.01116973999126417,0.33545732908599973,0.011169739991264223
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,75,0.6616726766540003,0.015220089588334004,0.3383273233459997,0.015220089588334021
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,76,0.6613936772120004,0.015512460511975254,0.3386063227879997,0.015512460511975273
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,77,0.6614206771580002,0.014817789615803842,0.33857932284199965,0.014817789615803833
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,78,0.6608896782200002,0.014183491350539226,0.33911032177999967,0.01418349135053923
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,79,0.6607326785340002,0.013624559311429826,0.3392673214659997,0.013624559311429849
