run_id,cycle,tau_t,sigma_t,switch_cycle,tau,sigma,tau_after,sigma_after,s1,s2,peer_signal,price_1,markup_1,unit_cost_1,quantity_1,profit_1,elasticity_1,price_2,markup_2,unit_cost_2,quantity_2,profit_2,elasticity_2,rho,gamma,delta
20251229-180107_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,59,0.1,0.05,90,0.1,0.05,0.0,0.0,0.6913996171999995,0.30860038280000046,0.6913996171999995,18.280610525530207,17.37247288998011,0.995,345.69980859999976,,0.2456408189907503,19.71113038326608,17.683535908309082,1.055,154.30019140000024,,0.6942812835475459,0.2,0.7,0.5
20251229-180107_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,60,0.1,0.05,90,0.1,0.05,0.0,0.0,0.6903796192399996,0.3096203807600004,0.6903796192399996,18.361579999253696,17.453849245481102,0.995,345.1898096199998,,0.3159148331750482,19.780573864102774,17.749359112893625,1.055,154.81019038000022,,0.888143888201618,0.2,0.7,0.5
20251229-180107_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,61,0.1,0.05,90,0.1,0.05,0.0,0.0,0.6897196205599997,0.31028037944000025,0.6897196205599997,18.43850099929101,17.531156783207045,0.995,344.85981027999986,,0.2164177424152594,19.846545170897635,17.811891157248944,1.055,155.14018972000014,,0.6054737124351434,0.2,0.7,0.5
20251229-180107_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,62,0.1,0.05,90,0.1,0.05,0.0,0.0,0.6887596224799999,0.31124037752000017,0.6887596224799999,18.51157594932646,17.604598944046693,0.995,344.3798112399999,,0.3331762120417727,19.909217912352748,17.871296599386493,1.055,155.62018876000008,,0.927795239092111,0.2,0.7,0.5
20251229-180107_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,63,0.1,0.05,90,0.1,0.05,0.0,0.0,0.6879196241599997,0.3120803758400002,0.6879196241599997,18.580997151860135,17.674368996844358,0.995,343.9598120799999,,0.308526499707534,19.96875701673511,17.927731769417168,1.055,156.0401879200001,,0.8548466856739391,0.2,0.7,0.5
20251229-180107_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,64,0.1,0.05,90,0.1,0.05,0.0,0.0,0.6872196255599998,0.3127803744400002,0.6872196255599998,18.646947294267125,17.740650547002137,0.995,343.6098127799999,,0.27198523106929434,20.025319165898356,17.98134518094631,1.055,156.3901872200001,,0.7503168921557913,0.2,0.7,0.5
20251229-180107_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,65,0.1,0.05,90,0.1,0.05,0.0,0.0,0.68665962668,0.31334037332000003,0.68665962668,18.709599929553768,17.803618019652028,0.995,343.32981334,,0.2300869106267493,20.079053207603433,18.03227792189899,1.055,156.67018666,,0.632410147564859,0.2,0.7,0.5
20251229-180107_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,66,0.1,0.05,90,0.1,0.05,0.0,0.0,0.685999628,0.31400037199999997,0.685999628,18.769119933076077,17.863437118669424,0.995,342.999814,,0.2866868086175483,20.13010054722326,18.08066402580404,1.055,157.00018599999999,,0.7852027056635965,0.2,0.7,0.5
20251229-180107_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,67,0.1,0.05,90,0.1,0.05,0.0,0.0,0.6852796294399999,0.31472037056000013,0.6852796294399999,18.825663936422274,17.920265262735953,0.995,342.63981471999995,,0.3306187818482043,20.178595519862096,18.126630824513835,1.055,157.36018528000005,,0.902039714423651,0.2,0.7,0.5
20251229-180107_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,68,0.1,0.05,90,0.1,0.05,0.0,0.0,0.6846996305999998,0.3153003694000001,0.6846996305999998,18.87938073960116,17.974251999599154,0.995,342.34981529999993,,0.28148429653030455,20.22466574386899,18.17029928328814,1.055,157.65018470000007,,0.7651988513416218,0.2,0.7,0.5
