tau,sigma,tau_after,sigma_after,switch_cycle,rho,gamma,delta,cycle,s1_mean,s1_std,s2_mean,s2_std
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,29,0.6947736104519999,0.03776146051838814,0.3052263895480001,0.037761460518388155
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,30,0.688470623058,0.03864773082634005,0.31152937694199995,0.03864773082634003
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,31,0.6862846274300001,0.03780150379854259,0.31371537256999993,0.03780150379854257
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,32,0.684696630606,0.03649926298663605,0.31530336939399994,0.03649926298663603
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,33,0.6832826334340001,0.03519448377993719,0.3167173665659998,0.035194483779937176
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,34,0.6820146359700001,0.03378585342928978,0.31798536402999994,0.03378585342928979
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,35,0.6809136381720002,0.03245243972625285,0.3190863618279998,0.03245243972625288
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,36,0.6799016401960003,0.031121674888396376,0.3200983598039997,0.03112167488839636
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,37,0.6789596420800003,0.029801272052500122,0.3210403579199997,0.02980127205250012
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,38,0.6780476439040003,0.028459468837991296,0.3219523560959997,0.02845946883799128
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,39,0.6772356455280002,0.02719593881134751,0.3227643544719997,0.027195938811347516
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,40,0.6764896470200003,0.02591750368639835,0.3235103529799997,0.02591750368639834
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,41,0.6758156483680002,0.02475188490219518,0.3241843516319997,0.024751884902195195
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,42,0.6752206495580002,0.02363176846721812,0.32477935044199974,0.0236317684672181
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,43,0.6746336507320002,0.022572816156478572,0.32536634926799973,0.022572816156478565
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,44,0.6740406519180002,0.021491636165362732,0.3259593480819997,0.02149163616536273
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,45,0.6734706530580002,0.020492363230566194,0.32652934694199975,0.020492363230566215
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,46,0.6728976542040002,0.01949597074816736,0.3271023457959998,0.019495970748167384
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,47,0.6724536550920002,0.01853179171535737,0.32754634490799983,0.018531791715357352
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,48,0.6719996560000002,0.017606891652700792,0.3280003439999998,0.017606891652700796
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,49,0.6715776568440002,0.016804415551337153,0.3284223431559998,0.016804415551337167
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,50,0.6711536576920001,0.015998370686620404,0.3288463423079998,0.01599837068662044
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,51,0.6707606584780001,0.015221699833731036,0.3292393415219998,0.01522169983373103
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,52,0.6703516592960002,0.014459978214001286,0.32964834070399984,0.014459978214001279
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,53,0.6699696600600002,0.013743186724304756,0.33003033993999975,0.013743186724304766
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,54,0.6696366607260001,0.013079832643640453,0.3303633392739998,0.013079832643640443
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,55,0.6693086613820002,0.012477001471383895,0.33069133861799976,0.012477001471383916
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,56,0.6690016619960002,0.01190610357970948,0.3309983380039998,0.011906103579709452
