run_id,cycle,tau_t,sigma_t,switch_cycle,tau,sigma,tau_after,sigma_after,s1,s2,peer_signal,price_1,markup_1,unit_cost_1,quantity_1,profit_1,elasticity_1,price_2,markup_2,unit_cost_2,quantity_2,profit_2,elasticity_2,rho,gamma,delta
20260218-144544_seed15_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5178799642400042,0.48212003575999585,0.5178799642400042,1.0945,0.1,0.995,258.93998212000207,,,1.1605,0.1,1.055,241.06001787999793,,,0.2,0.5,0.8
20260218-144544_seed15_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5453199093600017,0.4546800906399983,0.5453199093600017,1.0948757722735207,0.10037766057640277,0.995,272.65995468000085,,10.297723292429524,1.7138779339924044,0.6245288473861655,1.055,227.34004531999915,,1.0944235620907294,0.2,0.5,0.8
20260218-144545_seed16_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.517659964680004,0.482340035319996,0.517659964680004,1.0945,0.1,0.995,258.829982340002,,,1.1605,0.1,1.055,241.170017659998,,,0.2,0.5,0.8
20260218-144545_seed16_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5448799102400016,0.45512008975999846,0.5448799102400016,1.0949199969882573,0.1004221075258866,0.995,272.4399551200008,,10.221506538054927,1.776656179190495,0.6840342930715593,1.055,227.56004487999923,,1.0848847012612315,0.2,0.5,0.8
20260218-144546_seed17_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.517719964560004,0.48228003543999604,0.517719964560004,1.0945,0.1,0.995,258.859982280002,,,1.1605,0.1,1.055,241.140017719998,,,0.2,0.5,0.8
20260218-144546_seed17_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.546119907760002,0.45388009223999803,0.546119907760002,1.0946795955310034,0.10018049802110897,0.995,273.059953880001,,10.651581719800884,1.5503951494669805,0.46956886205401016,1.055,226.940046119999,,1.1334868032698093,0.2,0.5,0.8
20260218-144547_seed18_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5173599652800038,0.48264003471999617,0.5173599652800038,1.0945,0.1,0.995,258.6799826400019,,,1.1605,0.1,1.055,241.32001735999808,,,0.2,0.5,0.8
20260218-144547_seed18_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5445799108400018,0.45542008915999815,0.5445799108400018,1.0949166203635805,0.10041871393324667,0.995,272.2899554200009,,10.227281715911147,1.781778086811399,0.6888891818117528,1.055,227.71004457999908,,1.0841907910284998,0.2,0.5,0.8
20260218-144548_seed19_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5176999646000041,0.4823000353999959,0.5176999646000041,1.0945,0.1,0.995,258.84998230000207,,,1.1605,0.1,1.055,241.15001769999793,,,0.2,0.5,0.8
20260218-144548_seed19_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5450799098400012,0.45492009015999885,0.5450799098400012,1.0948864148295914,0.10038835661265465,0.995,272.5399549200006,,10.279267055668543,1.7314686878967902,0.6412025477694694,1.055,227.46004507999942,,1.091541132871286,0.2,0.5,0.8
