tau,sigma,tau_after,sigma_after,switch_cycle,rho,gamma,delta,cycle,s1_mean,s1_std,s2_mean,s2_std
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,113,0.527305945388001,0.04299201223714828,0.472694054611999,0.042992012237148235
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,114,0.5289109421780009,0.04259431892846201,0.471089057821999,0.042594318928462015
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,115,0.530100939798001,0.04149440388642573,0.46989906020199895,0.04149440388642565
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,116,0.5310969378060011,0.04033534885129805,0.4689030621939989,0.040335348851298025
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,117,0.532073935852001,0.0390472104291179,0.46792606414799887,0.039047210429117886
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,118,0.5330119339760011,0.03775420003879987,0.4669880660239988,0.03775420003879989
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,119,0.5338669322660012,0.03644634763748968,0.4661330677339988,0.03644634763748971
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,120,0.5347499305000012,0.03513488847939387,0.4652500694999988,0.035134888479393875
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,121,0.5372159255680014,0.03166727304975041,0.4627840744319987,0.031667273049750394
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,122,0.5405049189900015,0.02695878947074654,0.4594950810099984,0.026958789470746553
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,123,0.5418639162720016,0.025371271319043168,0.4581360837279984,0.025371271319043202
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,124,0.5416319167360014,0.025230567863580407,0.4583680832639986,0.02523056786358043
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,125,0.5388889222220012,0.02848970662999205,0.4611110777779988,0.028489706629992038
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,126,0.5387369225260011,0.029255780869455354,0.46126307747399886,0.02925578086945532
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,127,0.539235921528001,0.028503914719002012,0.46076407847199896,0.028503914719002026
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,128,0.535212929574001,0.02774443682362024,0.4647870704259989,0.027744436823620214
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,129,0.534842930314001,0.028999063785191702,0.46515706968599896,0.028999063785191743
